17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER 157: d0 = 0.522; d1 = 0.756; d2 = 0.878; PPLX 2^6.84 = 114.5
ITER 158: d0 = 0.638; d1 = 0.767; d2 = 0.883; PPLX 2^6.84 = 114.7
ITER 159: d0 = 0.622; d1 = 0.771; d2 = 0.877; PPLX 2^6.84 = 114.6
ITER 160: d0 = 0.592; d1 = 0.778; d2 = 0.875; PPLX 2^6.84 = 114.6
ITER 161: d0 = 0.648; d1 = 0.763; d2 = 0.871; PPLX 2^6.84 = 114.5
ITER 162: d0 = 0.537; d1 = 0.760; d2 = 0.880; PPLX 2^6.84 = 114.6
ITER 163: d0 = 0.566; d1 = 0.761; d2 = 0.873; PPLX 2^6.84 = 114.5
ITER 164: d0 = 0.628; d1 = 0.759; d2 = 0.880; PPLX 2^6.84 = 114.5
ITER 165: d0 = 0.546; d1 = 0.741; d2 = 0.874; PPLX 2^6.84 = 114.4
ITER 166: d0 = 0.559; d1 = 0.749; d2 = 0.882; PPLX 2^6.84 = 114.5
ITER 167: d0 = 0.526; d1 = 0.738; d2 = 0.872; PPLX 2^6.84 = 114.3
ITER 168: d0 = 0.615; d1 = 0.765; d2 = 0.879; PPLX 2^6.84 = 114.6
ITER 169: d0 = 0.619; d1 = 0.779; d2 = 0.879; PPLX 2^6.84 = 114.7
ITER 170: d0 = 0.579; d1 = 0.788; d2 = 0.883; PPLX 2^6.84 = 114.8
ITER 171: d0 = 0.648; d1 = 0.744; d2 = 0.871; PPLX 2^6.84 = 114.3
ITER 172: d0 = 0.567; d1 = 0.781; d2 = 0.869; PPLX 2^6.84 = 114.5
ITER 173: d0 = 0.658; d1 = 0.747; d2 = 0.867; PPLX 2^6.84 = 114.3
ITER 174: d0 = 0.556; d1 = 0.769; d2 = 0.875; PPLX 2^6.84 = 114.5
ITER 175: d0 = 0.567; d1 = 0.775; d2 = 0.876; PPLX 2^6.84 = 114.6
ITER 176: d0 = 0.642; d1 = 0.751; d2 = 0.881; PPLX 2^6.84 = 114.5
ITER 177: d0 = 0.521; d1 = 0.748; d2 = 0.875; PPLX 2^6.84 = 114.4
ITER 178: d0 = 0.563; d1 = 0.783; d2 = 0.870; PPLX 2^6.84 = 114.6
ITER 179: d0 = 0.520; d1 = 0.760; d2 = 0.879; PPLX 2^6.84 = 114.5
ITER 180: d0 = 0.690; d1 = 0.729; d2 = 0.870; PPLX 2^6.84 = 114.2
ITER 181: d0 = 0.661; d1 = 0.763; d2 = 0.884; PPLX 2^6.84 = 114.6
ITER 182: d0 = 0.653; d1 = 0.767; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 183: d0 = 0.572; d1 = 0.781; d2 = 0.874; PPLX 2^6.84 = 114.6
ITER 184: d0 = 0.606; d1 = 0.768; d2 = 0.885; PPLX 2^6.84 = 114.7
ITER 185: d0 = 0.531; d1 = 0.762; d2 = 0.876; PPLX 2^6.84 = 114.5
ITER 186: d0 = 0.656; d1 = 0.778; d2 = 0.872; PPLX 2^6.84 = 114.6
ITER 187: d0 = 0.601; d1 = 0.773; d2 = 0.873; PPLX 2^6.84 = 114.5
ITER 188: d0 = 0.653; d1 = 0.755; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 189: d0 = 0.530; d1 = 0.746; d2 = 0.884; PPLX 2^6.84 = 114.5
ITER 190: d0 = 0.662; d1 = 0.751; d2 = 0.872; PPLX 2^6.84 = 114.3
ITER 191: d0 = 0.590; d1 = 0.754; d2 = 0.885; PPLX 2^6.84 = 114.6
ITER 192: d0 = 0.527; d1 = 0.759; d2 = 0.871; PPLX 2^6.84 = 114.4
ITER 193: d0 = 0.557; d1 = 0.762; d2 = 0.870; PPLX 2^6.84 = 114.4
ITER 194: d0 = 0.675; d1 = 0.749; d2 = 0.873; PPLX 2^6.84 = 114.4
ITER 195: d0 = 0.552; d1 = 0.776; d2 = 0.863; PPLX 2^6.84 = 114.4
ITER 196: d0 = 0.630; d1 = 0.780; d2 = 0.865; PPLX 2^6.84 = 114.5
ITER 197: d0 = 0.673; d1 = 0.763; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 198: d0 = 0.556; d1 = 0.764; d2 = 0.872; PPLX 2^6.84 = 114.5
ITER 199: d0 = 0.628; d1 = 0.756; d2 = 0.872; PPLX 2^6.84 = 114.4
ITER 200: d0 = 0.582; d1 = 0.759; d2 = 0.873; PPLX 2^6.84 = 114.5
ITER 201: d0 = 0.614; d1 = 0.759; d2 = 0.883; PPLX 2^6.84 = 114.6
ITER 202: d0 = 0.605; d1 = 0.774; d2 = 0.885; PPLX 2^6.84 = 114.8
ITER 203: d0 = 0.561; d1 = 0.768; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 204: d0 = 0.563; d1 = 0.761; d2 = 0.884; PPLX 2^6.84 = 114.6
ITER 205: d0 = 0.581; d1 = 0.762; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 206: d0 = 0.598; d1 = 0.759; d2 = 0.881; PPLX 2^6.84 = 114.5
ITER 207: d0 = 0.566; d1 = 0.754; d2 = 0.870; PPLX 2^6.84 = 114.4
ITER 208: d0 = 0.639; d1 = 0.775; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER 209: d0 = 0.642; d1 = 0.766; d2 = 0.879; PPLX 2^6.84 = 114.6
ITER 210: d0 = 0.671; d1 = 0.756; d2 = 0.885; PPLX 2^6.84 = 114.6
ITER 211: d0 = 0.617; d1 = 0.752; d2 = 0.885; PPLX 2^6.84 = 114.5
ITER 212: d0 = 0.542; d1 = 0.782; d2 = 0.871; PPLX 2^6.84 = 114.6
ITER 213: d0 = 0.589; d1 = 0.763; d2 = 0.885; PPLX 2^6.84 = 114.6
ITER 214: d0 = 0.590; d1 = 0.788; d2 = 0.867; PPLX 2^6.84 = 114.6
ITER 215: d0 = 0.549; d1 = 0.762; d2 = 0.877; PPLX 2^6.84 = 114.5
ITER 216: d0 = 0.555; d1 = 0.775; d2 = 0.881; PPLX 2^6.84 = 114.7
ITER 217: d0 = 0.626; d1 = 0.728; d2 = 0.877; PPLX 2^6.84 = 114.3
ITER 218: d0 = 0.562; d1 = 0.774; d2 = 0.879; PPLX 2^6.84 = 114.6
ITER 219: d0 = 0.538; d1 = 0.777; d2 = 0.883; PPLX 2^6.84 = 114.7
ITER 220: d0 = 0.571; d1 = 0.765; d2 = 0.876; PPLX 2^6.84 = 114.5
ITER 221: d0 = 0.604; d1 = 0.758; d2 = 0.872; PPLX 2^6.84 = 114.4
ITER 222: d0 = 0.529; d1 = 0.769; d2 = 0.873; PPLX 2^6.84 = 114.5
ITER 223: d0 = 0.636; d1 = 0.750; d2 = 0.880; PPLX 2^6.84 = 114.5
ITER 224: d0 = 0.571; d1 = 0.762; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER 225: d0 = 0.580; d1 = 0.792; d2 = 0.876; PPLX 2^6.84 = 114.8
ITER 226: d0 = 0.520; d1 = 0.769; d2 = 0.874; PPLX 2^6.84 = 114.5
ITER 227: d0 = 0.597; d1 = 0.737; d2 = 0.878; PPLX 2^6.84 = 114.4
ITER 228: d0 = 0.581; d1 = 0.757; d2 = 0.855; PPLX 2^6.84 = 114.2
ITER 229: d0 = 0.603; d1 = 0.767; d2 = 0.865; PPLX 2^6.84 = 114.4
ITER 230: d0 = 0.579; d1 = 0.751; d2 = 0.876; PPLX 2^6.84 = 114.4
ITER 231: d0 = 0.635; d1 = 0.744; d2 = 0.881; PPLX 2^6.84 = 114.4
ITER 232: d0 = 0.552; d1 = 0.767; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 233: d0 = 0.681; d1 = 0.743; d2 = 0.879; PPLX 2^6.84 = 114.5
ITER 234: d0 = 0.701; d1 = 0.767; d2 = 0.865; PPLX 2^6.84 = 114.4
ITER 235: d0 = 0.643; d1 = 0.763; d2 = 0.884; PPLX 2^6.84 = 114.7
ITER 236: d0 = 0.624; d1 = 0.770; d2 = 0.865; PPLX 2^6.84 = 114.4
ITER 237: d0 = 0.656; d1 = 0.748; d2 = 0.872; PPLX 2^6.84 = 114.4
ITER 238: d0 = 0.606; d1 = 0.738; d2 = 0.878; PPLX 2^6.84 = 114.4
ITER 239: d0 = 0.525; d1 = 0.758; d2 = 0.868; PPLX 2^6.84 = 114.4
