1161192 dom0, 360634 dom1 train, 39534 dom1 test
58715 unique words

*** BASELINE hpylm ***
136395 restaurants created
204.452kB of test data
Compression ratio: 1.456376 bits/char (18.204703%)
Perplexity: 2^7.531720 = 185.043445

*** UNION hpylm ***
587155 restaurants created
204.452kB of test data
ITER   0: d0 = 0.653; d1 = 0.801; d2 = 0.912; PPLX 2^7.59 = 192.4
ITER   1: d0 = 0.701; d1 = 0.802; d2 = 0.920; PPLX 2^7.59 = 192.4
ITER   2: d0 = 0.749; d1 = 0.813; d2 = 0.895; PPLX 2^7.58 = 191.7
ITER   3: d0 = 0.641; d1 = 0.854; d2 = 0.896; PPLX 2^7.60 = 193.7
ITER   4: d0 = 0.736; d1 = 0.795; d2 = 0.898; PPLX 2^7.58 = 190.8
ITER   5: d0 = 0.643; d1 = 0.798; d2 = 0.894; PPLX 2^7.58 = 190.9
ITER   6: d0 = 0.651; d1 = 0.804; d2 = 0.914; PPLX 2^7.58 = 191.4
ITER   7: d0 = 0.662; d1 = 0.806; d2 = 0.902; PPLX 2^7.58 = 190.8
ITER   8: d0 = 0.633; d1 = 0.822; d2 = 0.913; PPLX 2^7.59 = 192.0
ITER   9: d0 = 0.637; d1 = 0.798; d2 = 0.910; PPLX 2^7.58 = 191.1
ITER  10: d0 = 0.733; d1 = 0.826; d2 = 0.894; PPLX 2^7.58 = 191.7
ITER  11: d0 = 0.721; d1 = 0.819; d2 = 0.898; PPLX 2^7.58 = 191.5
ITER  12: d0 = 0.647; d1 = 0.838; d2 = 0.906; PPLX 2^7.59 = 192.1
ITER  13: d0 = 0.656; d1 = 0.830; d2 = 0.901; PPLX 2^7.58 = 191.8
ITER  14: d0 = 0.638; d1 = 0.798; d2 = 0.902; PPLX 2^7.57 = 190.5
ITER  15: d0 = 0.674; d1 = 0.807; d2 = 0.914; PPLX 2^7.58 = 191.7
ITER  16: d0 = 0.680; d1 = 0.856; d2 = 0.919; PPLX 2^7.60 = 194.1
ITER  17: d0 = 0.634; d1 = 0.825; d2 = 0.891; PPLX 2^7.58 = 191.0
ITER  18: d0 = 0.654; d1 = 0.796; d2 = 0.920; PPLX 2^7.58 = 191.2
ITER  19: d0 = 0.655; d1 = 0.811; d2 = 0.890; PPLX 2^7.58 = 190.7
ITER  20: d0 = 0.771; d1 = 0.813; d2 = 0.907; PPLX 2^7.58 = 191.7
ITER  21: d0 = 0.714; d1 = 0.835; d2 = 0.892; PPLX 2^7.58 = 192.0
ITER  22: d0 = 0.690; d1 = 0.822; d2 = 0.902; PPLX 2^7.58 = 191.8
ITER  23: d0 = 0.718; d1 = 0.802; d2 = 0.893; PPLX 2^7.58 = 191.2
ITER  24: d0 = 0.708; d1 = 0.831; d2 = 0.909; PPLX 2^7.59 = 192.5
ITER  25: d0 = 0.736; d1 = 0.837; d2 = 0.893; PPLX 2^7.58 = 191.7
ITER  26: d0 = 0.703; d1 = 0.847; d2 = 0.892; PPLX 2^7.59 = 192.3
ITER  27: d0 = 0.711; d1 = 0.817; d2 = 0.914; PPLX 2^7.58 = 191.4
ITER  28: d0 = 0.715; d1 = 0.803; d2 = 0.916; PPLX 2^7.58 = 191.1
ITER  29: d0 = 0.667; d1 = 0.829; d2 = 0.904; PPLX 2^7.58 = 191.7
ITER  30: d0 = 0.648; d1 = 0.807; d2 = 0.908; PPLX 2^7.58 = 191.0
ITER  31: d0 = 0.707; d1 = 0.856; d2 = 0.916; PPLX 2^7.60 = 193.7
ITER  32: d0 = 0.747; d1 = 0.816; d2 = 0.906; PPLX 2^7.58 = 191.3
ITER  33: d0 = 0.671; d1 = 0.854; d2 = 0.911; PPLX 2^7.60 = 193.5
ITER  34: d0 = 0.684; d1 = 0.823; d2 = 0.916; PPLX 2^7.58 = 191.9
ITER  35: d0 = 0.772; d1 = 0.828; d2 = 0.893; PPLX 2^7.58 = 191.5
ITER  36: d0 = 0.733; d1 = 0.797; d2 = 0.915; PPLX 2^7.58 = 190.8
ITER  37: d0 = 0.666; d1 = 0.829; d2 = 0.906; PPLX 2^7.58 = 191.7
ITER  38: d0 = 0.751; d1 = 0.809; d2 = 0.896; PPLX 2^7.58 = 190.8
ITER  39: d0 = 0.756; d1 = 0.799; d2 = 0.901; PPLX 2^7.57 = 190.2
ITER  40: d0 = 0.710; d1 = 0.811; d2 = 0.916; PPLX 2^7.58 = 191.3
ITER  41: d0 = 0.735; d1 = 0.799; d2 = 0.890; PPLX 2^7.57 = 189.9
ITER  42: d0 = 0.643; d1 = 0.835; d2 = 0.896; PPLX 2^7.58 = 191.6
ITER  43: d0 = 0.657; d1 = 0.817; d2 = 0.891; PPLX 2^7.57 = 190.6
ITER  44: d0 = 0.680; d1 = 0.846; d2 = 0.892; PPLX 2^7.58 = 191.9
ITER  45: d0 = 0.685; d1 = 0.826; d2 = 0.909; PPLX 2^7.58 = 191.4
ITER  46: d0 = 0.640; d1 = 0.830; d2 = 0.891; PPLX 2^7.58 = 191.3
ITER  47: d0 = 0.641; d1 = 0.841; d2 = 0.899; PPLX 2^7.59 = 192.2
ITER  48: d0 = 0.723; d1 = 0.820; d2 = 0.905; PPLX 2^7.58 = 191.1
ITER  49: d0 = 0.666; d1 = 0.849; d2 = 0.904; PPLX 2^7.59 = 192.6
ITER  50: d0 = 0.748; d1 = 0.804; d2 = 0.897; PPLX 2^7.58 = 190.8
ITER  51: d0 = 0.674; d1 = 0.801; d2 = 0.900; PPLX 2^7.57 = 190.1
ITER  52: d0 = 0.768; d1 = 0.796; d2 = 0.896; PPLX 2^7.57 = 190.5
ITER  53: d0 = 0.674; d1 = 0.825; d2 = 0.892; PPLX 2^7.58 = 191.0
ITER  54: d0 = 0.664; d1 = 0.838; d2 = 0.915; PPLX 2^7.58 = 191.9
ITER  55: d0 = 0.714; d1 = 0.841; d2 = 0.896; PPLX 2^7.58 = 191.6
ITER  56: d0 = 0.673; d1 = 0.817; d2 = 0.914; PPLX 2^7.58 = 191.5
ITER  57: d0 = 0.691; d1 = 0.800; d2 = 0.898; PPLX 2^7.57 = 190.6
ITER  58: d0 = 0.650; d1 = 0.812; d2 = 0.892; PPLX 2^7.57 = 190.4
ITER  59: d0 = 0.668; d1 = 0.858; d2 = 0.899; PPLX 2^7.59 = 192.4
ITER  60: d0 = 0.659; d1 = 0.814; d2 = 0.912; PPLX 2^7.58 = 191.2
ITER  61: d0 = 0.663; d1 = 0.814; d2 = 0.902; PPLX 2^7.58 = 190.9
ITER  62: d0 = 0.664; d1 = 0.852; d2 = 0.907; PPLX 2^7.59 = 193.0
ITER  63: d0 = 0.722; d1 = 0.802; d2 = 0.901; PPLX 2^7.58 = 191.0
ITER  64: d0 = 0.657; d1 = 0.798; d2 = 0.914; PPLX 2^7.58 = 191.1
ITER  65: d0 = 0.678; d1 = 0.804; d2 = 0.895; PPLX 2^7.57 = 190.6
ITER  66: d0 = 0.643; d1 = 0.823; d2 = 0.910; PPLX 2^7.58 = 191.5
ITER  67: d0 = 0.694; d1 = 0.813; d2 = 0.897; PPLX 2^7.58 = 190.8
ITER  68: d0 = 0.693; d1 = 0.827; d2 = 0.918; PPLX 2^7.58 = 191.6
ITER  69: d0 = 0.684; d1 = 0.836; d2 = 0.905; PPLX 2^7.58 = 192.0
ITER  70: d0 = 0.689; d1 = 0.804; d2 = 0.891; PPLX 2^7.57 = 190.0
ITER  71: d0 = 0.668; d1 = 0.809; d2 = 0.903; PPLX 2^7.58 = 191.0
ITER  72: d0 = 0.753; d1 = 0.830; d2 = 0.907; PPLX 2^7.58 = 191.5
ITER  73: d0 = 0.657; d1 = 0.801; d2 = 0.906; PPLX 2^7.57 = 190.5
ITER  74: d0 = 0.642; d1 = 0.801; d2 = 0.912; PPLX 2^7.58 = 190.7
ITER  75: d0 = 0.672; d1 = 0.855; d2 = 0.910; PPLX 2^7.59 = 192.6
ITER  76: d0 = 0.769; d1 = 0.835; d2 = 0.898; PPLX 2^7.58 = 191.8
ITER  77: d0 = 0.771; d1 = 0.809; d2 = 0.906; PPLX 2^7.58 = 190.8
ITER  78: d0 = 0.760; d1 = 0.837; d2 = 0.893; PPLX 2^7.58 = 191.6
ITER  79: d0 = 0.704; d1 = 0.833; d2 = 0.916; PPLX 2^7.59 = 192.2
ITER  80: d0 = 0.733; d1 = 0.851; d2 = 0.892; PPLX 2^7.59 = 192.6
ITER  81: d0 = 0.714; d1 = 0.826; d2 = 0.913; PPLX 2^7.58 = 191.8
ITER  82: d0 = 0.716; d1 = 0.859; d2 = 0.916; PPLX 2^7.59 = 192.9
ITER  83: d0 = 0.748; d1 = 0.815; d2 = 0.893; PPLX 2^7.58 = 190.9
ITER  84: d0 = 0.713; d1 = 0.845; d2 = 0.904; PPLX 2^7.59 = 192.3
ITER  85: d0 = 0.710; d1 = 0.845; d2 = 0.894; PPLX 2^7.58 = 191.9
ITER  86: d0 = 0.727; d1 = 0.817; d2 = 0.894; PPLX 2^7.57 = 190.6
ITER  87: d0 = 0.718; d1 = 0.821; d2 = 0.908; PPLX 2^7.58 = 191.5
ITER  88: d0 = 0.733; d1 = 0.808; d2 = 0.907; PPLX 2^7.58 = 191.3
ITER  89: d0 = 0.645; d1 = 0.798; d2 = 0.912; PPLX 2^7.58 = 190.7
ITER  90: d0 = 0.654; d1 = 0.847; d2 = 0.895; PPLX 2^7.59 = 192.3
ITER  91: d0 = 0.659; d1 = 0.834; d2 = 0.914; PPLX 2^7.59 = 192.3
ITER  92: d0 = 0.773; d1 = 0.825; d2 = 0.903; PPLX 2^7.58 = 191.3
ITER  93: d0 = 0.679; d1 = 0.838; d2 = 0.913; PPLX 2^7.59 = 192.2
ITER  94: d0 = 0.696; d1 = 0.831; d2 = 0.894; PPLX 2^7.58 = 191.7
ITER  95: d0 = 0.760; d1 = 0.840; d2 = 0.900; PPLX 2^7.58 = 191.6
ITER  96: d0 = 0.718; d1 = 0.848; d2 = 0.899; PPLX 2^7.59 = 192.3
ITER  97: d0 = 0.704; d1 = 0.837; d2 = 0.908; PPLX 2^7.59 = 192.3
ITER  98: d0 = 0.674; d1 = 0.800; d2 = 0.912; PPLX 2^7.58 = 190.8
ITER  99: d0 = 0.704; d1 = 0.851; d2 = 0.906; PPLX 2^7.59 = 192.5

SUMMARY
Compression ratio: 1.463579 bits/char (18.294741%)
Perplexity: 2^7.568971 = 189.883595

*** DHPYLM ***
TRAIN dom0: The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place . The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted . The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan ...
TRAIN dom1: PRESIDENT HARRY S . TRUMAN ' S ADDRESS BEFORE A JOINT SESSION OF THE CONGRESS April 16 , 1945 Mr . Speaker , Mr . President , Members of the Congress : It is with a heavy heart that I stand before you , my friends and colleagues , in the Congress of the United States . Only yesterday , we laid to rest the mortal remains of our beloved President , Franklin Delano Roosevelt . At a time like this , words are inadequate . The most eloquent tribute would be a reverent silence . Yet , in this ...
CREATED 587155 latent, 511323 dom0, 136395 dom1 restaurants
TEST dom1: PRESIDENT LYNDON B . JOHNSON ' S ANNUAL MESSAGE TO THE CONGRESS ON THE STATE OF THE UNION November 27 , 1963 Mr . Speaker , Mr . President , Members of the House , Members of the Senate , my fellow Americans : All I have I would have given gladly not to be standing here today . The greatest leader of our time has been struck down by the foulest deed of our time . Today John Fitzgerald Kennedy lives on in the immortal words and works that he left behind . He lives on in the mind ...

ITER   0: l0=0.414; l1=0.371; l2=0.567; l0=0.152; l1=0.332; l2=0.551; PPLX 2^7.56 = 188.9
ITER   1: l0=0.375; l1=0.342; l2=0.530; l0=0.117; l1=0.324; l2=0.547; PPLX 2^7.55 = 187.9
ITER   2: l0=0.350; l1=0.325; l2=0.505; l0=0.097; l1=0.320; l2=0.547; PPLX 2^7.56 = 188.1
ITER   3: l0=0.333; l1=0.312; l2=0.488; l0=0.083; l1=0.319; l2=0.545; PPLX 2^7.56 = 188.9
ITER   4: l0=0.310; l1=0.302; l2=0.473; l0=0.069; l1=0.322; l2=0.541; PPLX 2^7.56 = 188.5
ITER   5: l0=0.307; l1=0.294; l2=0.462; l0=0.060; l1=0.324; l2=0.539; PPLX 2^7.56 = 188.3
ITER   6: l0=0.293; l1=0.289; l2=0.454; l0=0.061; l1=0.322; l2=0.540; PPLX 2^7.56 = 188.7
ITER   7: l0=0.287; l1=0.283; l2=0.448; l0=0.060; l1=0.324; l2=0.541; PPLX 2^7.55 = 187.6
ITER   8: l0=0.274; l1=0.280; l2=0.441; l0=0.056; l1=0.323; l2=0.539; PPLX 2^7.56 = 188.5
ITER   9: l0=0.267; l1=0.275; l2=0.438; l0=0.051; l1=0.323; l2=0.537; PPLX 2^7.56 = 188.6
ITER  10: l0=0.252; l1=0.272; l2=0.434; l0=0.043; l1=0.324; l2=0.539; PPLX 2^7.56 = 189.2
ITER  11: l0=0.244; l1=0.269; l2=0.430; l0=0.042; l1=0.322; l2=0.540; PPLX 2^7.54 = 186.3
ITER  12: l0=0.231; l1=0.266; l2=0.427; l0=0.041; l1=0.323; l2=0.539; PPLX 2^7.56 = 188.7
ITER  13: l0=0.225; l1=0.260; l2=0.428; l0=0.044; l1=0.323; l2=0.542; PPLX 2^7.57 = 189.7
ITER  14: l0=0.222; l1=0.258; l2=0.424; l0=0.041; l1=0.324; l2=0.540; PPLX 2^7.55 = 187.2
ITER  15: l0=0.217; l1=0.256; l2=0.423; l0=0.041; l1=0.327; l2=0.540; PPLX 2^7.55 = 187.9
ITER  16: l0=0.215; l1=0.253; l2=0.422; l0=0.037; l1=0.326; l2=0.539; PPLX 2^7.56 = 188.9
ITER  17: l0=0.210; l1=0.253; l2=0.422; l0=0.041; l1=0.326; l2=0.538; PPLX 2^7.56 = 188.9
ITER  18: l0=0.202; l1=0.250; l2=0.420; l0=0.038; l1=0.327; l2=0.541; PPLX 2^7.56 = 188.1
ITER  19: l0=0.207; l1=0.246; l2=0.418; l0=0.038; l1=0.327; l2=0.539; PPLX 2^7.55 = 187.8
