17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER 168: d0 = 0.321; d1 = 0.667; d2 = 0.687; PPLX 2^6.89 = 118.3
ITER 169: d0 = 0.463; d1 = 0.696; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 170: d0 = 0.464; d1 = 0.662; d2 = 0.672; PPLX 2^6.89 = 118.7
ITER 171: d0 = 0.306; d1 = 0.687; d2 = 0.682; PPLX 2^6.89 = 118.3
ITER 172: d0 = 0.420; d1 = 0.649; d2 = 0.671; PPLX 2^6.89 = 118.7
ITER 173: d0 = 0.388; d1 = 0.652; d2 = 0.690; PPLX 2^6.89 = 118.2
ITER 174: d0 = 0.284; d1 = 0.655; d2 = 0.687; PPLX 2^6.89 = 118.3
ITER 175: d0 = 0.275; d1 = 0.679; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER 176: d0 = 0.343; d1 = 0.672; d2 = 0.679; PPLX 2^6.89 = 118.5
ITER 177: d0 = 0.278; d1 = 0.668; d2 = 0.649; PPLX 2^6.90 = 119.4
ITER 178: d0 = 0.409; d1 = 0.665; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER 179: d0 = 0.347; d1 = 0.655; d2 = 0.681; PPLX 2^6.89 = 118.4
ITER 180: d0 = 0.428; d1 = 0.672; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER 181: d0 = 0.272; d1 = 0.682; d2 = 0.676; PPLX 2^6.89 = 118.5
ITER 182: d0 = 0.320; d1 = 0.654; d2 = 0.665; PPLX 2^6.89 = 119.0
ITER 183: d0 = 0.392; d1 = 0.643; d2 = 0.671; PPLX 2^6.89 = 118.8
ITER 184: d0 = 0.515; d1 = 0.700; d2 = 0.674; PPLX 2^6.89 = 118.5
ITER 185: d0 = 0.334; d1 = 0.643; d2 = 0.656; PPLX 2^6.90 = 119.3
ITER 186: d0 = 0.300; d1 = 0.647; d2 = 0.662; PPLX 2^6.90 = 119.1
ITER 187: d0 = 0.349; d1 = 0.640; d2 = 0.671; PPLX 2^6.89 = 118.8
ITER 188: d0 = 0.425; d1 = 0.667; d2 = 0.670; PPLX 2^6.89 = 118.8
ITER 189: d0 = 0.357; d1 = 0.641; d2 = 0.673; PPLX 2^6.89 = 118.7
ITER 190: d0 = 0.350; d1 = 0.677; d2 = 0.687; PPLX 2^6.89 = 118.3
ITER 191: d0 = 0.295; d1 = 0.663; d2 = 0.673; PPLX 2^6.89 = 118.7
ITER 192: d0 = 0.262; d1 = 0.697; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER 193: d0 = 0.285; d1 = 0.655; d2 = 0.679; PPLX 2^6.89 = 118.5
ITER 194: d0 = 0.377; d1 = 0.690; d2 = 0.679; PPLX 2^6.89 = 118.5
ITER 195: d0 = 0.265; d1 = 0.668; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER 196: d0 = 0.290; d1 = 0.660; d2 = 0.661; PPLX 2^6.90 = 119.1
ITER 197: d0 = 0.341; d1 = 0.674; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 198: d0 = 0.367; d1 = 0.672; d2 = 0.683; PPLX 2^6.89 = 118.4
ITER 199: d0 = 0.363; d1 = 0.690; d2 = 0.684; PPLX 2^6.89 = 118.3
ITER 200: d0 = 0.327; d1 = 0.657; d2 = 0.687; PPLX 2^6.89 = 118.2
ITER 201: d0 = 0.422; d1 = 0.656; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER 202: d0 = 0.308; d1 = 0.685; d2 = 0.668; PPLX 2^6.89 = 118.8
ITER 203: d0 = 0.499; d1 = 0.668; d2 = 0.691; PPLX 2^6.88 = 118.1
ITER 204: d0 = 0.286; d1 = 0.671; d2 = 0.688; PPLX 2^6.89 = 118.2
ITER 205: d0 = 0.414; d1 = 0.698; d2 = 0.697; PPLX 2^6.88 = 117.9
ITER 206: d0 = 0.320; d1 = 0.651; d2 = 0.660; PPLX 2^6.90 = 119.1
ITER 207: d0 = 0.274; d1 = 0.664; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER 208: d0 = 0.447; d1 = 0.686; d2 = 0.691; PPLX 2^6.88 = 118.1
ITER 209: d0 = 0.476; d1 = 0.680; d2 = 0.667; PPLX 2^6.89 = 118.8
ITER 210: d0 = 0.409; d1 = 0.654; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER 211: d0 = 0.327; d1 = 0.664; d2 = 0.694; PPLX 2^6.88 = 118.1
ITER 212: d0 = 0.266; d1 = 0.671; d2 = 0.691; PPLX 2^6.88 = 118.2
ITER 213: d0 = 0.329; d1 = 0.642; d2 = 0.690; PPLX 2^6.89 = 118.3
ITER 214: d0 = 0.276; d1 = 0.653; d2 = 0.682; PPLX 2^6.89 = 118.5
ITER 215: d0 = 0.386; d1 = 0.667; d2 = 0.658; PPLX 2^6.90 = 119.1
ITER 216: d0 = 0.433; d1 = 0.661; d2 = 0.673; PPLX 2^6.89 = 118.7
ITER 217: d0 = 0.281; d1 = 0.668; d2 = 0.677; PPLX 2^6.89 = 118.5
