14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER 115: d0 = 0.691; d1 = 0.847; d2 = 0.887; PPLX 2^7.48 = 178.4
ITER 116: d0 = 0.763; d1 = 0.816; d2 = 0.879; PPLX 2^7.47 = 176.7
ITER 117: d0 = 0.650; d1 = 0.849; d2 = 0.899; PPLX 2^7.48 = 178.3
ITER 118: d0 = 0.650; d1 = 0.833; d2 = 0.884; PPLX 2^7.47 = 177.6
ITER 119: d0 = 0.731; d1 = 0.837; d2 = 0.885; PPLX 2^7.48 = 178.0
ITER 120: d0 = 0.652; d1 = 0.790; d2 = 0.883; PPLX 2^7.46 = 176.6
ITER 121: d0 = 0.657; d1 = 0.812; d2 = 0.904; PPLX 2^7.47 = 177.5
ITER 122: d0 = 0.683; d1 = 0.843; d2 = 0.898; PPLX 2^7.48 = 177.9
ITER 123: d0 = 0.638; d1 = 0.834; d2 = 0.897; PPLX 2^7.47 = 177.9
ITER 124: d0 = 0.761; d1 = 0.789; d2 = 0.905; PPLX 2^7.46 = 176.6
ITER 125: d0 = 0.642; d1 = 0.810; d2 = 0.881; PPLX 2^7.47 = 177.3
ITER 126: d0 = 0.761; d1 = 0.804; d2 = 0.896; PPLX 2^7.46 = 176.7
ITER 127: d0 = 0.748; d1 = 0.801; d2 = 0.878; PPLX 2^7.47 = 176.8
ITER 128: d0 = 0.730; d1 = 0.805; d2 = 0.895; PPLX 2^7.47 = 176.8
ITER 129: d0 = 0.640; d1 = 0.816; d2 = 0.892; PPLX 2^7.47 = 177.1
ITER 130: d0 = 0.696; d1 = 0.820; d2 = 0.904; PPLX 2^7.47 = 177.7
ITER 131: d0 = 0.705; d1 = 0.816; d2 = 0.896; PPLX 2^7.47 = 177.0
ITER 132: d0 = 0.636; d1 = 0.794; d2 = 0.890; PPLX 2^7.46 = 176.4
ITER 133: d0 = 0.654; d1 = 0.805; d2 = 0.884; PPLX 2^7.46 = 176.6
ITER 134: d0 = 0.662; d1 = 0.804; d2 = 0.879; PPLX 2^7.46 = 176.5
ITER 135: d0 = 0.672; d1 = 0.800; d2 = 0.882; PPLX 2^7.46 = 176.2
ITER 136: d0 = 0.648; d1 = 0.785; d2 = 0.880; PPLX 2^7.46 = 176.4
ITER 137: d0 = 0.674; d1 = 0.784; d2 = 0.894; PPLX 2^7.46 = 176.5
ITER 138: d0 = 0.639; d1 = 0.838; d2 = 0.888; PPLX 2^7.47 = 177.8
ITER 139: d0 = 0.635; d1 = 0.846; d2 = 0.902; PPLX 2^7.48 = 178.4
ITER 140: d0 = 0.648; d1 = 0.847; d2 = 0.887; PPLX 2^7.48 = 178.2
ITER 141: d0 = 0.655; d1 = 0.836; d2 = 0.886; PPLX 2^7.47 = 177.6
ITER 142: d0 = 0.690; d1 = 0.802; d2 = 0.888; PPLX 2^7.46 = 176.4
