17964 (out of 15920737) words in dict
14957666 training, 963071 testing
7196429 restaurants created
6032.09kB of test data
ITER  87: d0 = 0.494; d1 = 0.657; d2 = 0.759; d3 = 0.677; PPLX 2^6.80 = 111.4
ITER  88: d0 = 0.289; d1 = 0.672; d2 = 0.765; d3 = 0.666; PPLX 2^6.80 = 111.6
ITER  89: d0 = 0.446; d1 = 0.676; d2 = 0.748; d3 = 0.672; PPLX 2^6.80 = 111.8
ITER  90: d0 = 0.334; d1 = 0.695; d2 = 0.761; d3 = 0.698; PPLX 2^6.79 = 110.5
ITER  91: d0 = 0.333; d1 = 0.668; d2 = 0.767; d3 = 0.669; PPLX 2^6.80 = 111.5
ITER  92: d0 = 0.269; d1 = 0.680; d2 = 0.750; d3 = 0.700; PPLX 2^6.79 = 110.7
ITER  93: d0 = 0.309; d1 = 0.688; d2 = 0.765; d3 = 0.693; PPLX 2^6.79 = 110.6
ITER  94: d0 = 0.329; d1 = 0.658; d2 = 0.766; d3 = 0.687; PPLX 2^6.79 = 110.9
ITER  95: d0 = 0.343; d1 = 0.693; d2 = 0.758; d3 = 0.681; PPLX 2^6.80 = 111.2
ITER  96: d0 = 0.339; d1 = 0.671; d2 = 0.769; d3 = 0.663; PPLX 2^6.80 = 111.7
ITER  97: d0 = 0.367; d1 = 0.662; d2 = 0.752; d3 = 0.651; PPLX 2^6.81 = 112.5
ITER  98: d0 = 0.281; d1 = 0.678; d2 = 0.764; d3 = 0.662; PPLX 2^6.80 = 111.8
ITER  99: d0 = 0.285; d1 = 0.692; d2 = 0.761; d3 = 0.676; PPLX 2^6.80 = 111.3
ITER 100: d0 = 0.331; d1 = 0.700; d2 = 0.775; d3 = 0.677; PPLX 2^6.79 = 111.0
ITER 101: d0 = 0.332; d1 = 0.661; d2 = 0.777; d3 = 0.664; PPLX 2^6.80 = 111.4
ITER 102: d0 = 0.456; d1 = 0.632; d2 = 0.751; d3 = 0.665; PPLX 2^6.81 = 112.1
ITER 103: d0 = 0.413; d1 = 0.657; d2 = 0.758; d3 = 0.657; PPLX 2^6.81 = 112.1
ITER 104: d0 = 0.334; d1 = 0.683; d2 = 0.776; d3 = 0.672; PPLX 2^6.80 = 111.1
ITER 105: d0 = 0.333; d1 = 0.660; d2 = 0.759; d3 = 0.680; PPLX 2^6.80 = 111.3
ITER 106: d0 = 0.489; d1 = 0.681; d2 = 0.780; d3 = 0.663; PPLX 2^6.80 = 111.4
ITER 107: d0 = 0.285; d1 = 0.672; d2 = 0.768; d3 = 0.689; PPLX 2^6.79 = 110.7
ITER 108: d0 = 0.270; d1 = 0.687; d2 = 0.766; d3 = 0.689; PPLX 2^6.79 = 110.7
ITER 109: d0 = 0.436; d1 = 0.656; d2 = 0.779; d3 = 0.664; PPLX 2^6.80 = 111.4
ITER 110: d0 = 0.358; d1 = 0.662; d2 = 0.767; d3 = 0.663; PPLX 2^6.80 = 111.7
ITER 111: d0 = 0.352; d1 = 0.685; d2 = 0.763; d3 = 0.665; PPLX 2^6.80 = 111.7
ITER 112: d0 = 0.315; d1 = 0.661; d2 = 0.756; d3 = 0.675; PPLX 2^6.80 = 111.5
ITER 113: d0 = 0.306; d1 = 0.669; d2 = 0.756; d3 = 0.666; PPLX 2^6.81 = 111.8
ITER 114: d0 = 0.288; d1 = 0.660; d2 = 0.775; d3 = 0.664; PPLX 2^6.80 = 111.5
ITER 115: d0 = 0.356; d1 = 0.674; d2 = 0.756; d3 = 0.702; PPLX 2^6.79 = 110.5
ITER 116: d0 = 0.304; d1 = 0.647; d2 = 0.757; d3 = 0.688; PPLX 2^6.80 = 111.1
ITER 117: d0 = 0.511; d1 = 0.670; d2 = 0.766; d3 = 0.684; PPLX 2^6.79 = 111.0
ITER 118: d0 = 0.290; d1 = 0.671; d2 = 0.766; d3 = 0.680; PPLX 2^6.80 = 111.1
ITER 119: d0 = 0.428; d1 = 0.691; d2 = 0.760; d3 = 0.663; PPLX 2^6.81 = 111.8
ITER 120: d0 = 0.469; d1 = 0.658; d2 = 0.748; d3 = 0.682; PPLX 2^6.80 = 111.5
ITER 121: d0 = 0.269; d1 = 0.667; d2 = 0.765; d3 = 0.672; PPLX 2^6.80 = 111.4
ITER 122: d0 = 0.329; d1 = 0.675; d2 = 0.760; d3 = 0.686; PPLX 2^6.79 = 111.0
ITER 123: d0 = 0.437; d1 = 0.702; d2 = 0.766; d3 = 0.674; PPLX 2^6.80 = 111.3
ITER 124: d0 = 0.366; d1 = 0.675; d2 = 0.772; d3 = 0.681; PPLX 2^6.79 = 110.9
ITER 125: d0 = 0.415; d1 = 0.691; d2 = 0.761; d3 = 0.689; PPLX 2^6.79 = 110.9
ITER 126: d0 = 0.298; d1 = 0.696; d2 = 0.769; d3 = 0.665; PPLX 2^6.80 = 111.5
ITER 127: d0 = 0.274; d1 = 0.677; d2 = 0.754; d3 = 0.673; PPLX 2^6.80 = 111.6
ITER 128: d0 = 0.279; d1 = 0.657; d2 = 0.772; d3 = 0.659; PPLX 2^6.80 = 111.7
ITER 129: d0 = 0.336; d1 = 0.652; d2 = 0.769; d3 = 0.666; PPLX 2^6.80 = 111.6
ITER 130: d0 = 0.339; d1 = 0.674; d2 = 0.753; d3 = 0.662; PPLX 2^6.81 = 112.0
ITER 131: d0 = 0.375; d1 = 0.695; d2 = 0.771; d3 = 0.656; PPLX 2^6.81 = 111.8
ITER 132: d0 = 0.327; d1 = 0.676; d2 = 0.774; d3 = 0.664; PPLX 2^6.80 = 111.5
ITER 133: d0 = 0.335; d1 = 0.662; d2 = 0.769; d3 = 0.676; PPLX 2^6.80 = 111.2
ITER 134: d0 = 0.302; d1 = 0.668; d2 = 0.771; d3 = 0.688; PPLX 2^6.79 = 110.7
ITER 135: d0 = 0.372; d1 = 0.685; d2 = 0.759; d3 = 0.667; PPLX 2^6.80 = 111.7
ITER 136: d0 = 0.385; d1 = 0.658; d2 = 0.766; d3 = 0.679; PPLX 2^6.80 = 111.1
ITER 137: d0 = 0.292; d1 = 0.666; d2 = 0.769; d3 = 0.661; PPLX 2^6.80 = 111.8
ITER 138: d0 = 0.385; d1 = 0.670; d2 = 0.750; d3 = 0.671; PPLX 2^6.80 = 111.8
ITER 139: d0 = 0.329; d1 = 0.686; d2 = 0.750; d3 = 0.671; PPLX 2^6.80 = 111.7
ITER 140: d0 = 0.307; d1 = 0.687; d2 = 0.776; d3 = 0.657; PPLX 2^6.80 = 111.7
ITER 141: d0 = 0.268; d1 = 0.688; d2 = 0.750; d3 = 0.681; PPLX 2^6.80 = 111.4
ITER 142: d0 = 0.273; d1 = 0.650; d2 = 0.772; d3 = 0.666; PPLX 2^6.80 = 111.6
ITER 143: d0 = 0.435; d1 = 0.688; d2 = 0.756; d3 = 0.668; PPLX 2^6.80 = 111.7
ITER 144: d0 = 0.276; d1 = 0.682; d2 = 0.759; d3 = 0.680; PPLX 2^6.80 = 111.2
ITER 145: d0 = 0.349; d1 = 0.682; d2 = 0.767; d3 = 0.675; PPLX 2^6.80 = 111.2
ITER 146: d0 = 0.332; d1 = 0.669; d2 = 0.766; d3 = 0.681; PPLX 2^6.79 = 111.0
ITER 147: d0 = 0.328; d1 = 0.693; d2 = 0.740; d3 = 0.662; PPLX 2^6.81 = 112.3
ITER 148: d0 = 0.284; d1 = 0.651; d2 = 0.751; d3 = 0.662; PPLX 2^6.81 = 112.1
ITER 149: d0 = 0.331; d1 = 0.677; d2 = 0.758; d3 = 0.693; PPLX 2^6.79 = 110.8
ITER 150: d0 = 0.419; d1 = 0.690; d2 = 0.759; d3 = 0.697; PPLX 2^6.79 = 110.6
ITER 151: d0 = 0.320; d1 = 0.674; d2 = 0.771; d3 = 0.687; PPLX 2^6.79 = 110.7
ITER 152: d0 = 0.353; d1 = 0.687; d2 = 0.756; d3 = 0.667; PPLX 2^6.80 = 111.7
ITER 153: d0 = 0.437; d1 = 0.700; d2 = 0.766; d3 = 0.683; PPLX 2^6.79 = 111.0
ITER 154: d0 = 0.336; d1 = 0.646; d2 = 0.754; d3 = 0.669; PPLX 2^6.81 = 111.8
ITER 155: d0 = 0.337; d1 = 0.683; d2 = 0.760; d3 = 0.692; PPLX 2^6.79 = 110.8
ITER 156: d0 = 0.326; d1 = 0.702; d2 = 0.756; d3 = 0.694; PPLX 2^6.79 = 110.8
ITER 157: d0 = 0.497; d1 = 0.665; d2 = 0.772; d3 = 0.675; PPLX 2^6.80 = 111.2
ITER 158: d0 = 0.451; d1 = 0.650; d2 = 0.766; d3 = 0.698; PPLX 2^6.79 = 110.5
ITER 159: d0 = 0.285; d1 = 0.692; d2 = 0.768; d3 = 0.684; PPLX 2^6.79 = 110.9
ITER 160: d0 = 0.412; d1 = 0.686; d2 = 0.771; d3 = 0.679; PPLX 2^6.79 = 111.0
ITER 161: d0 = 0.290; d1 = 0.648; d2 = 0.763; d3 = 0.666; PPLX 2^6.80 = 111.7
ITER 162: d0 = 0.334; d1 = 0.690; d2 = 0.769; d3 = 0.668; PPLX 2^6.80 = 111.4
ITER 163: d0 = 0.279; d1 = 0.656; d2 = 0.765; d3 = 0.673; PPLX 2^6.80 = 111.4
ITER 164: d0 = 0.412; d1 = 0.675; d2 = 0.744; d3 = 0.677; PPLX 2^6.80 = 111.7
ITER 165: d0 = 0.265; d1 = 0.674; d2 = 0.767; d3 = 0.688; PPLX 2^6.79 = 110.7
ITER 166: d0 = 0.377; d1 = 0.650; d2 = 0.745; d3 = 0.690; PPLX 2^6.80 = 111.3
ITER 167: d0 = 0.268; d1 = 0.650; d2 = 0.766; d3 = 0.689; PPLX 2^6.79 = 110.8
ITER 168: d0 = 0.367; d1 = 0.691; d2 = 0.769; d3 = 0.675; PPLX 2^6.80 = 111.2
ITER 169: d0 = 0.267; d1 = 0.707; d2 = 0.766; d3 = 0.668; PPLX 2^6.80 = 111.5
ITER 170: d0 = 0.305; d1 = 0.655; d2 = 0.739; d3 = 0.682; PPLX 2^6.80 = 111.6
ITER 171: d0 = 0.299; d1 = 0.634; d2 = 0.753; d3 = 0.672; PPLX 2^6.80 = 111.8
ITER 172: d0 = 0.387; d1 = 0.690; d2 = 0.765; d3 = 0.663; PPLX 2^6.80 = 111.7
ITER 173: d0 = 0.435; d1 = 0.658; d2 = 0.761; d3 = 0.677; PPLX 2^6.80 = 111.3
ITER 174: d0 = 0.473; d1 = 0.686; d2 = 0.768; d3 = 0.701; PPLX 2^6.79 = 110.3
ITER 175: d0 = 0.288; d1 = 0.707; d2 = 0.774; d3 = 0.655; PPLX 2^6.80 = 111.8
ITER 176: d0 = 0.395; d1 = 0.673; d2 = 0.761; d3 = 0.663; PPLX 2^6.80 = 111.8
ITER 177: d0 = 0.398; d1 = 0.681; d2 = 0.744; d3 = 0.673; PPLX 2^6.81 = 111.8
ITER 178: d0 = 0.509; d1 = 0.690; d2 = 0.750; d3 = 0.672; PPLX 2^6.80 = 111.7
ITER 179: d0 = 0.273; d1 = 0.702; d2 = 0.751; d3 = 0.670; PPLX 2^6.80 = 111.7
ITER 180: d0 = 0.470; d1 = 0.675; d2 = 0.771; d3 = 0.667; PPLX 2^6.80 = 111.5
ITER 181: d0 = 0.429; d1 = 0.668; d2 = 0.766; d3 = 0.678; PPLX 2^6.80 = 111.2
ITER 182: d0 = 0.315; d1 = 0.701; d2 = 0.749; d3 = 0.678; PPLX 2^6.80 = 111.5
ITER 183: d0 = 0.333; d1 = 0.682; d2 = 0.768; d3 = 0.675; PPLX 2^6.80 = 111.2
ITER 184: d0 = 0.342; d1 = 0.674; d2 = 0.776; d3 = 0.672; PPLX 2^6.80 = 111.2
ITER 185: d0 = 0.352; d1 = 0.688; d2 = 0.781; d3 = 0.667; PPLX 2^6.80 = 111.2
ITER 186: d0 = 0.269; d1 = 0.639; d2 = 0.768; d3 = 0.666; PPLX 2^6.80 = 111.6
