58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER 112: d0 = 0.689; d1 = 0.813; d2 = 0.894; PPLX 2^7.58 = 190.8
ITER 113: d0 = 0.759; d1 = 0.852; d2 = 0.892; PPLX 2^7.59 = 192.2
ITER 114: d0 = 0.657; d1 = 0.805; d2 = 0.907; PPLX 2^7.58 = 190.8
ITER 115: d0 = 0.665; d1 = 0.852; d2 = 0.918; PPLX 2^7.59 = 193.2
ITER 116: d0 = 0.710; d1 = 0.803; d2 = 0.896; PPLX 2^7.58 = 191.1
ITER 117: d0 = 0.768; d1 = 0.808; d2 = 0.897; PPLX 2^7.57 = 190.2
ITER 118: d0 = 0.661; d1 = 0.819; d2 = 0.912; PPLX 2^7.58 = 191.2
ITER 119: d0 = 0.654; d1 = 0.826; d2 = 0.898; PPLX 2^7.58 = 191.4
ITER 120: d0 = 0.717; d1 = 0.842; d2 = 0.902; PPLX 2^7.58 = 191.9
ITER 121: d0 = 0.680; d1 = 0.840; d2 = 0.918; PPLX 2^7.58 = 191.9
ITER 122: d0 = 0.678; d1 = 0.849; d2 = 0.907; PPLX 2^7.59 = 193.0
ITER 123: d0 = 0.771; d1 = 0.804; d2 = 0.908; PPLX 2^7.58 = 190.9
ITER 124: d0 = 0.757; d1 = 0.849; d2 = 0.901; PPLX 2^7.59 = 192.8
ITER 125: d0 = 0.678; d1 = 0.805; d2 = 0.917; PPLX 2^7.58 = 190.9
ITER 126: d0 = 0.719; d1 = 0.834; d2 = 0.910; PPLX 2^7.59 = 192.5
ITER 127: d0 = 0.780; d1 = 0.859; d2 = 0.907; PPLX 2^7.59 = 192.7
ITER 128: d0 = 0.644; d1 = 0.831; d2 = 0.896; PPLX 2^7.58 = 191.2
ITER 129: d0 = 0.736; d1 = 0.818; d2 = 0.912; PPLX 2^7.58 = 191.1
ITER 130: d0 = 0.673; d1 = 0.802; d2 = 0.895; PPLX 2^7.57 = 189.9
ITER 131: d0 = 0.698; d1 = 0.852; d2 = 0.893; PPLX 2^7.59 = 192.1
ITER 132: d0 = 0.659; d1 = 0.851; d2 = 0.893; PPLX 2^7.59 = 192.1
ITER 133: d0 = 0.661; d1 = 0.806; d2 = 0.894; PPLX 2^7.57 = 190.6
ITER 134: d0 = 0.731; d1 = 0.836; d2 = 0.893; PPLX 2^7.58 = 191.5
ITER 135: d0 = 0.667; d1 = 0.817; d2 = 0.895; PPLX 2^7.57 = 190.7
ITER 136: d0 = 0.709; d1 = 0.852; d2 = 0.895; PPLX 2^7.59 = 192.9
ITER 137: d0 = 0.774; d1 = 0.837; d2 = 0.913; PPLX 2^7.59 = 192.1
ITER 138: d0 = 0.748; d1 = 0.798; d2 = 0.899; PPLX 2^7.57 = 190.1
ITER 139: d0 = 0.653; d1 = 0.858; d2 = 0.895; PPLX 2^7.59 = 192.2
ITER 140: d0 = 0.659; d1 = 0.801; d2 = 0.917; PPLX 2^7.58 = 190.9
ITER 141: d0 = 0.650; d1 = 0.804; d2 = 0.897; PPLX 2^7.57 = 190.2
ITER 142: d0 = 0.687; d1 = 0.805; d2 = 0.893; PPLX 2^7.57 = 190.1
ITER 143: d0 = 0.692; d1 = 0.803; d2 = 0.894; PPLX 2^7.57 = 190.3
ITER 144: d0 = 0.758; d1 = 0.801; d2 = 0.900; PPLX 2^7.57 = 190.4
ITER 145: d0 = 0.760; d1 = 0.799; d2 = 0.918; PPLX 2^7.58 = 191.2
ITER 146: d0 = 0.707; d1 = 0.838; d2 = 0.906; PPLX 2^7.58 = 191.9
ITER 147: d0 = 0.665; d1 = 0.803; d2 = 0.901; PPLX 2^7.57 = 189.9
ITER 148: d0 = 0.665; d1 = 0.802; d2 = 0.905; PPLX 2^7.57 = 190.4
ITER 149: d0 = 0.718; d1 = 0.838; d2 = 0.900; PPLX 2^7.59 = 192.3
ITER 150: d0 = 0.705; d1 = 0.853; d2 = 0.900; PPLX 2^7.59 = 192.4
ITER 151: d0 = 0.757; d1 = 0.835; d2 = 0.893; PPLX 2^7.58 = 191.6
ITER 152: d0 = 0.736; d1 = 0.849; d2 = 0.894; PPLX 2^7.58 = 191.9
ITER 153: d0 = 0.672; d1 = 0.799; d2 = 0.905; PPLX 2^7.57 = 190.1
ITER 154: d0 = 0.667; d1 = 0.828; d2 = 0.905; PPLX 2^7.58 = 191.9
ITER 155: d0 = 0.655; d1 = 0.858; d2 = 0.915; PPLX 2^7.59 = 193.0
ITER 156: d0 = 0.668; d1 = 0.822; d2 = 0.893; PPLX 2^7.58 = 191.2
ITER 157: d0 = 0.645; d1 = 0.822; d2 = 0.903; PPLX 2^7.58 = 191.2
ITER 158: d0 = 0.727; d1 = 0.812; d2 = 0.893; PPLX 2^7.58 = 190.9
ITER 159: d0 = 0.690; d1 = 0.804; d2 = 0.904; PPLX 2^7.58 = 190.9
ITER 160: d0 = 0.752; d1 = 0.830; d2 = 0.894; PPLX 2^7.58 = 191.3
ITER 161: d0 = 0.757; d1 = 0.841; d2 = 0.914; PPLX 2^7.59 = 192.7
ITER 162: d0 = 0.664; d1 = 0.848; d2 = 0.913; PPLX 2^7.59 = 192.9
ITER 163: d0 = 0.645; d1 = 0.852; d2 = 0.903; PPLX 2^7.59 = 192.8
ITER 164: d0 = 0.663; d1 = 0.848; d2 = 0.896; PPLX 2^7.58 = 191.9
ITER 165: d0 = 0.721; d1 = 0.804; d2 = 0.902; PPLX 2^7.58 = 191.0
ITER 166: d0 = 0.774; d1 = 0.839; d2 = 0.913; PPLX 2^7.59 = 192.5
ITER 167: d0 = 0.723; d1 = 0.821; d2 = 0.914; PPLX 2^7.58 = 192.0
ITER 168: d0 = 0.661; d1 = 0.812; d2 = 0.909; PPLX 2^7.58 = 191.1
ITER 169: d0 = 0.752; d1 = 0.815; d2 = 0.895; PPLX 2^7.58 = 191.1
ITER 170: d0 = 0.658; d1 = 0.817; d2 = 0.892; PPLX 2^7.57 = 190.6
ITER 171: d0 = 0.697; d1 = 0.801; d2 = 0.907; PPLX 2^7.57 = 190.4
ITER 172: d0 = 0.768; d1 = 0.812; d2 = 0.892; PPLX 2^7.57 = 190.7
ITER 173: d0 = 0.707; d1 = 0.824; d2 = 0.896; PPLX 2^7.58 = 191.5
ITER 174: d0 = 0.651; d1 = 0.814; d2 = 0.892; PPLX 2^7.58 = 190.9
ITER 175: d0 = 0.762; d1 = 0.804; d2 = 0.912; PPLX 2^7.58 = 190.9
ITER 176: d0 = 0.730; d1 = 0.827; d2 = 0.902; PPLX 2^7.58 = 191.6
ITER 177: d0 = 0.669; d1 = 0.828; d2 = 0.909; PPLX 2^7.58 = 191.8
ITER 178: d0 = 0.697; d1 = 0.811; d2 = 0.908; PPLX 2^7.58 = 191.3
ITER 179: d0 = 0.684; d1 = 0.829; d2 = 0.918; PPLX 2^7.59 = 192.1
ITER 180: d0 = 0.662; d1 = 0.852; d2 = 0.894; PPLX 2^7.59 = 192.4
ITER 181: d0 = 0.649; d1 = 0.804; d2 = 0.905; PPLX 2^7.57 = 190.4
ITER 182: d0 = 0.664; d1 = 0.843; d2 = 0.896; PPLX 2^7.59 = 192.3
ITER 183: d0 = 0.743; d1 = 0.799; d2 = 0.893; PPLX 2^7.57 = 190.5
ITER 184: d0 = 0.691; d1 = 0.828; d2 = 0.901; PPLX 2^7.58 = 191.5
